ZJEDNODUŠENÝ CENÍK DERAPLUS 2026,,,,
"Všechny ceny bez DPH | DPH 12 % (družstva, soukr. osoby) nebo 21 % (firmy)",,,,
,,,,
OBECNÉ PODMÍNKY,,,,
Položka,Cena / pravidlo,,,
"Výjezd (Praha, krajská města)",690Kč,,,
Marný výjezd bez zásahu,950Kč,,,
Doprava mimo město,16 Kč/km,,,
Víkendový příplatek,"0,1",,,
Noční hodiny (20:00–6:00),"0,2",,,
"Krajánci (ČB, OVA, OLC, JIH, LBC, ZL)",,,,
Sleva pro získání zakázky,5–10 % (dle dohody),,,
,,,,
"POSTŘIKY — DOMÁCNOSTI (hlavní sazba, bez DPH)",,,,
Velikost bytu,Štěnice / Blechy,"Moli, rybenky
 a další","Preventivní
 ošetření",Poznámka
do 30 m²,2 188 Kč,2 188 Kč,,
do 50 m²,2 958 Kč,2 958 Kč,,
do 80 m²,3 178 Kč,3 178 Kč,,
do 100 m²,3 728 Kč,3 728 Kč,,
do 150 m²,4 619 Kč,4 619 Kč,,
Preventivní,,,1 529 Kč,Bariéra + lapače
"Štěnice: 2 placené zásahy, 3. reklamace | Blechy: 1–2 zásahy dle výskytu | +690 Kč výjezd",,,,
,,,,
"GELOVÉ NÁSTRAHY — DOMÁCNOSTI (hlavní sazba, bez DPH)",,,,
Počet bytů,"Rusi / Švábi
 (1 zásah)","Rusi / Švábi
 (2 zásahy)","Mravenci faraón
 (1 zásah)",
1–2 byty,2 188 Kč,4 376 Kč,2 188 Kč,
3–10 bytů,1 528 Kč,3 056 Kč,1 528 Kč,
11–20 bytů,835Kč,1 670 Kč,835Kč,
21–30 bytů,648Kč,1 296 Kč,648Kč,
nad 30 bytů,538Kč,1 076 Kč,538Kč,
"Rusi/švábi: 20 min/byt | Mravenci faraón: 2 placené zásahy, 3. reklamace",,,,
,,,,
"SPECIÁLNÍ ZÁSAHY (hlavní sazba, bez DPH)",,,,
Služba,Cena od,Cena do,,
Vosy a sršni,2 100 Kč,3 200 Kč,,
Ubytovny — za pokoj (max 3 postele),1 989 Kč,,,
Ubytovny — za další postel,825Kč,,,
,,,,
DERATIZACE (bez DPH),,,,
Položka,Cena/ks,,,
Plastová stanička MYŠ (8×4×8 cm),90Kč,,,
Sklapovací pastička na MYŠ,90Kč,,,
Plastová stanice POTKAN (25×7×7 cm),170Kč,,,
"Živolovka MYŠ (kovová, na vyžádání)",349Kč,,,
"Živolovka POTKAN (kovová, na vyžádání)",849Kč,,,
Náplň do stanic (nástraha),99Kč,,,
Pěna Racumin — částečné ošetření,999Kč,,,
Pěna Racumin — celé ošetření,1 299 Kč,,,
Práce technika — firmy hlavní,1 639 Kč,,,
Práce technika — krajánci + domácnosti,999Kč,,,
,,,,
"DEZINFEKCE (hlavní sazba, bez DPH)",,,,
Plocha,100 m²,200 m²,500 m²,1 000 m²
Cena/m² (postřik),70Kč,50Kč,30Kč,11Kč
Cena/m³ (aerosol),50Kč,40Kč,19Kč,11Kč
"Krajánci: × 0,70 | Pravidelné postřiky: -30 %",,,,
